REG_NAME,OKTMO_NUM,OKTMO_territory_code,Excess_mortality_apr_feb_per_capita,Salary_Region_to_Country_Ratio,Population_Below_Living_Wage_Share,Modern_Retail_Area_per_capita_x1000,Population,Mean_Real_Wage,Floor_Area_per_capita,Urban_Population_Share,Migr_IntraReg_3Y_mean_per_capita_x10000,Migr_Inflow_InterReg_3Y_mean_per_capita_x10000,Migr_Inflow_International_3Y_mean_per_capita_x10000,Migr_Outflow_InterReg_3Y_mean_per_capita_x10000,Migr_Outflow_International_3Y_mean_per_capita_x10000,Doctors_per_capita_x1000,Change_over_5yrs_Doctors_per_capita_x1000,Employees_in_Working_Age_Population_Share,Retail_N_per_capita_x1000,Working_Age_Population_Share,Under_Working_Age_Population_Share,Retail_Area_per_capita_x1000,Income_per_capita,SME_in_GRDP_Share,GRDP_in_GDP_Share,Post_Working_Age_Population_Share,Patents_per_capita_x10000,Cars_per_capita_x1000,Ecommerce_Users_Share,Digital_Gov_Serv_Users_Share,Jan_Temp_Mean_10yr,Jul_Temp_Mean_10yr,Jan_Humid_Mean_10yr,Jul_Humid_Mean_10yr,Region_Area_km2,Road_Density,Rail_Road_Density,Airport_Density,Buses_per_capita,Workers_in_A_EconAct_Share,Workers_in_B_EconAct_Share,Workers_in_C_EconAct_Share,Workers_in_D_EconAct_Share,Workers_in_E_EconAct_Share,Workers_in_F_EconAct_Share,Workers_in_G_EconAct_Share,Workers_in_H_EconAct_Share,Workers_in_I_EconAct_Share,Workers_in_J_EconAct_Share,Workers_in_K_EconAct_Share,Workers_in_L_EconAct_Share,Workers_in_M_EconAct_Share,Workers_in_N_EconAct_Share,Workers_in_O_EconAct_Share,Workers_in_P_EconAct_Share,Workers_in_Q_EconAct_Share,Workers_in_R_EconAct_Share,Workers_in_S_EconAct_Share
Republic of Altay,84000000,84000000,1.55417588256934,69.7,24.3,422.2,219524,119,21.43,0.292245950328893,372.072629401295,204.986256337086,17.7539538937176,210.881841172937,12.9247970465459,4.49153623294036,0.00117369802688949,0.429049117408144,8.49565423370565,52.9,28.2,1099.1518011698,20256,27.5,0.1,18.9,0.0728849692972067,192.492209845293,0.202667912622632,0.432709950787887,-18.0077777777778,16.3933333333333,71.5933333333333,68.3722222222222,92963.8981078493,13.8935638270482,0,0.236651005904221,0.0129188608079299,0.0196515581797206,0.00450192130772444,0.0141662409015636,0.0146992725177613,0.00415316879631885,0.0183039095862645,0.0258602140000521,0.0148155233548965,0.00934915065760601,0.00989079344692481,0.00674685414040187,0.0062689340321794,0.0130295660495751,0.00679335447525595,0.0797050184091381,0.104188305827122,0.0608198546371977,0.0143436310678588,0.00176184602058229
Republic of Bashkortostan,80000000,80000000,2.69350997523372,76.2,12.1,146.2,4044578,111.9,26.61,0.62339062319975,233.757042550436,94.3476157784498,23.216342949218,111.895464316407,19.6216371265551,4.33444478014764,0.077267750182556,0.489220694181346,5.48363760075835,54.9,20.5,886.657915856735,30567,27.8,1.9,24.6,2.03111424727129,342.611771646789,0.0835132144795713,0.646799272210311,-13.7541176470588,19.4729411764706,78.1370588235294,65.2023529411765,143015.731307019,52.8280766276518,25.9560469967611,0.167813706790605,0.00231989591992045,0.0176265121549612,0.0143760340120853,0.0838993191920907,0.0162430233422097,0.00555714850421427,0.0331812588199157,0.064212750762335,0.0320592457899388,0.0102123271535527,0.0104597068426297,0.0087294451178279,0.0158372089642246,0.0204359131678863,0.0144638080907328,0.0309178224839758,0.0517621170501052,0.0471476054059072,0.00813921060025237,0.00396046190371658
Republic of Buryatia,81000000,81000000,1.2840577034841,81.7,20.1,397.7,984605,109.9,21.81,0.591467644385312,284.106732088011,133.29933910562,13.0658953891423,161.99075956509,7.97208800886142,4.51856328172211,-0.011832644263319,0.407648559797054,4.80801945958024,54.8,24.6,686.848126913839,25268,23.6,0.3,20.6,0.648991219829272,257.201204548482,0.0819085680303386,0.322452393943793,-23.9337931034483,17.2306896551724,75.4672413793104,71.8641379310345,331772.155917902,11.4140605531358,6.83694253575468,0.12659290193838,0.00273307570040778,0.00957310792348942,0.010806882911325,0.0436423113392725,0.0225465567966286,0.00496994292831573,0.0155071634380633,0.0349971756801803,0.0297223567033458,0.00618333106792205,0.00650377525508859,0.0069804568336845,0.012684511633236,0.0120477006285488,0.0159497433796212,0.0508611089622549,0.0583134286649539,0.053678571387533,0.0103048104399345,0.0023763651635913
Republic of Crimea,35000000,35000000,1.9193546869167,68.4,17.2,112.7,1912220,118,18.93,0.509902103314472,86.8280991031134,98.2330027819237,54.7150247635679,87.8836121261367,27.5226148396886,4.43411322964931,0.0325147050482104,0.406228231371323,7.09175722458713,53.3,18.2,668.23079980337,22310,34.2,0.5,28.5,0.143288952108021,320.805014646617,0.115947001544902,0.165314260391759,3.48,24.87,78.11,66.33,26217.1165802235,83.5751542186446,51.9010121491439,2.17415213551734,0.00909727960171947,0.018069917967904,0.00551847215959494,0.0369781295820268,0.0145142342437735,0.00939842560525557,0.0178105021906799,0.0422709374876069,0.0271676214259614,0.0121748808487833,0.00617750989621152,0.00592682634446887,0.0147224340468255,0.00998309225294027,0.0130153330226493,0.0365418126526337,0.0616192925119518,0.0624956547366741,0.00984965599839233,0.00199349839698907
Republic of Daghestan,82000000,82000000,1.60039448923737,56.1,14.6,24.7,3098492,116.8,19.71,0.452824470742542,64.5858301041496,77.4730909151305,6.39145338286352,114.470321789787,1.99288708949626,4.14911511793479,0.125958335070029,0.193194907798432,6.39020529986845,59.8,25.8,183.10252213012,27408,30.5,0.8,14.4,1.07536182116978,195.491671521614,0.036807375780356,0.240887697314469,-1.13818181818182,23.9172727272727,81.8972727272727,61.2118181818182,49776.4015570597,54.0837971378932,20.3951992431386,0.462066346311407,0.00317347922795992,0.00618787362467837,0.000990070573849589,0.00939258284654747,0.00470149948053056,0.00150483171494402,0.0101675309724622,0.00917729849009688,0.00794215239289755,0.00189562490247441,0.00244902820932934,0.00163403471051753,0.00385315282747296,0.00431702072511467,0.00323255748657918,0.0269341292301185,0.0578834277424767,0.0348745006293427,0.00519321564288235,0.000864429565622724
Republic of Ingushetia,26000000,26000000,1.02946193850444,57.3,30.5,46.2,502227,112.5,15.54,0.555563520081557,64.2489843001588,108.767052319189,3.23465426459438,62.1805158799642,2.50691698600221,4.48004587566977,0.12562114009438,0.182064001028765,3.96036055409207,58.2,28.5,229.934272749175,16614,24.2,0.1,13.3,0.0219024465032744,183.063787412175,0.0613240076838096,0.332801042837786,-1.08333333333333,23.7433333333333,83.7766666666667,65.6266666666667,3419.07581275908,50.7943130988075,11.8738296362176,2.0473368779592,0.00447208134966858,0.00628917016666188,0.00301269828034731,0.00215466429362109,0.00362338036420149,0.0026137877426588,0.0048351652051043,0.00352348167037212,0.00554779869567476,0.000581259865808548,0.0034420573925249,0.00188233771729172,0.000403700201091281,0.00137942306000004,0.00220324516527784,0.0372488701645893,0.0589097807848379,0.0331451549848521,0.0109436966377186,0.000324328636130961
Republic of Kalmykia,85000000,85000000,1.72238921570435,59.8,23.5,75.5,271891,113.1,25.25,0.45733400517119,263.675547219293,197.950237413816,2.3854388362111,290.028152967653,2.72937176939649,5.00936036867715,-0.056658169871921,0.350254456685799,6.64972360247305,55.1,21.9,378.001478533677,18508,18.6,0.1,23,0.386184169391411,320.634373383899,0.0480716775889708,0.418337457581048,-3.25333333333333,25.8608333333333,87.3333333333333,50.3791666666667,69835.0877831655,25.955229626237,4.07045237949622,0.0286388986323022,0.0506158718015675,0.0236309600981673,0.00238832764338859,0.00441887339274244,0.0159526669506271,0.00524457526386365,0.00785985410869218,0.0143319683709325,0.0178136668024347,0.00194310278644611,0.00783515647794724,0.0045550441136064,0.0040724390587797,0.00928430664949465,0.0157237132385862,0.0679625397817921,0.0830567971881494,0.0523349470520511,0.0102001214976582,0.00164673121750689
Republic of Karelia,86000000,86000000,2.60233461007322,89.8,15.7,187.3,616060,115.1,27.35,0.808497548940038,214.721197228281,129.806462048422,24.9657861747388,147.964547469535,27.9543809222844,5.15696523065935,0.0672449447387231,0.5602991950101,6.89543226309126,53.9,18.4,865.330324968347,30854,23.2,0.3,27.7,0.444761873843457,386.851676870704,0.197173481428034,0.192702179380404,-9.64142857142857,16.2907142857143,87.0642857142857,75.4735714285714,157233.068606605,27.9534106281304,20.3346945222378,0.508798821449952,0.00863227607700549,0.0210075796173625,0.0196156471519261,0.0672470219963275,0.0262744569189674,0.00741862058709676,0.0262286815544615,0.0651217802376548,0.0482906003240293,0.0115745418382917,0.0115046741766774,0.00816036218432089,0.0175723192034219,0.0139735323228582,0.0116200160490837,0.0613922926452782,0.0685880594841225,0.0598606248566132,0.0117248175415052,0.00312386747381483
Republic of Khakassia,95000000,95000000,1.4715626415504,84.7,19,193.1,535215,107.8,25.55,0.697486057005129,201.197189979365,199.734831747325,21.6844256090738,207.052718600212,25.1845695878621,4.21886531580767,0.0820330279049153,0.440817545587731,7.95568136169577,54.1,22,1156.66713376867,22689,17.5,0.3,23.9,0.173761946133797,368.666851932327,0.0895816646926058,0.424261168818038,-17.0057142857143,17.6885714285714,74.0157142857143,73.27,61650.017042029,25.0182794826032,22.0648637705969,0.113544169748207,0.00474015115420906,0.00713932174682059,0.0288232156707698,0.0451218810731355,0.019934290403758,0.00469795828763547,0.0163715367688798,0.0280209399152617,0.0349941425753843,0.00435639534222112,0.00783384458122734,0.00803001015554013,0.0119854403009705,0.00918144681884798,0.0104057548486699,0.0607954413883425,0.0763429446003379,0.0538598831782201,0.0106620133982123,0.00226246598120268
Republic of Mari El,88000000,88000000,2.08119608428991,63,20.1,109.8,679899,107.7,27.75,0.66843457631207,164.704414420828,121.339389589476,31.6475547562373,144.526933579759,19.0152890902376,3.61671365894052,0.0417015242917396,0.483910927292959,6.12296826440398,54,19.8,872.691237963286,20864,26.7,0.2,26.2,1.82821271983045,248.055498397954,0.121177525635775,0.406227099625397,-11.5016666666667,19.2766666666667,83.0733333333333,70.63,23392.5224852729,63.9988766758731,10.0943955063827,0.512984437978195,0.00343433362896548,0.0269127664005433,0.000865052232975998,0.126699374139067,0.0182761350228871,0.00714675867161751,0.0133222401824062,0.0404155889602993,0.0211837019583464,0.00923503180456051,0.00942787090435491,0.00709827652505903,0.0105573959705235,0.00911164746528528,0.00811885294727599,0.0458959781226765,0.064729930202596,0.050688628970109,0.0117765312963423,0.00244862077281304
Republic of Mordovia,89000000,89000000,3.59150945903363,60.2,18,328.1,792851,109.8,28.46,0.63618258663986,114.164209392284,110.37749767285,102.094433207097,161.646599519327,74.7355050417136,5.32508630247045,-0.0083916308401274,0.492286629787983,6.04274952040169,56.3,15.2,718.136194568715,19748,25.5,0.3,28.5,0.865231928823953,264.390876727207,0.0816271636777297,0.302114384713445,-9.92285714285714,19.8228571428571,84.6042857142857,68.7642857142857,26172.2274702987,59.0496432958559,48.5975953487142,0.229250643905225,0.00246704614107821,0.0380865767487355,0.000132399854469485,0.108644721866472,0.0126801424074913,0.00732500514651228,0.016266139819493,0.0392656299366762,0.0325251107805376,0.00519697432146044,0.0102082304037412,0.00837569096286065,0.0151426452845278,0.012030016556949,0.0115806187429629,0.0475349081569429,0.0599450982384854,0.0524973263910437,0.0128857990342307,0.00196381916121744
Republic of North Ossetia – Alania,90000000,90000000,2.48494267669484,60.1,13.8,30.2,698045,107.6,29.19,0.643349640782471,44.7867443825721,107.153958266318,17.9289583966981,171.323213935495,8.80068938607713,6.80901661067696,0.0575396528523358,0.304399575169617,5.65293068498449,55.2,21.2,305.895035420353,24495,29.6,0.2,23.6,1.90961900737058,296.633488418488,0.0565662614238255,0.138813754872812,-1.435,22.7,82.945,68.44,7983.53030946873,71.0643074776825,38.8428176697563,1.50309443752817,0.0079636699639708,0.00497844860921615,0.00129684135433734,0.0206305996841489,0.00999919962802946,0.00483674851326495,0.0108000906465376,0.0191663653593198,0.0141194024179954,0.00416899329919451,0.00603237551335142,0.00422920286377451,0.00560467998564521,0.00698664520714737,0.00633965191189763,0.0569476076092848,0.0655435610490209,0.0499529171585944,0.01084265258012,0.00192385130272217
Republic of Sakha (Yakutia),98000000,98000000,1.5637924435903,153.3,17.8,48.9,969503,110.2,23.24,0.660214563544414,271.368537552842,124.853632468397,36.5952453588025,174.962080151362,13.5049013860478,6.17532900878079,0.117614426153458,0.664443033068375,6.17429755245729,57.6,24.8,752.256362280467,45458,12.9,1.3,17.6,0.733365446006872,230.873756087068,0.17040201451146,0.199951378218739,-33.8038888888889,15.6496296296296,77.4648148148148,70.9924074074074,3075052.00229005,2.35116048804979,0.475773725572067,0.0734946920675467,0.00341927771239491,0.0117834931345694,0.0834278047045181,0.0185379204029739,0.0447972583776315,0.00647489544184552,0.0867673236241203,0.0284819830939724,0.0533343501773589,0.00807275738187504,0.0121597239914563,0.0108727315267032,0.00984539386560834,0.0270366907351269,0.0100652946234651,0.0612269608471786,0.109642195537301,0.0610251463894387,0.0194741102743708,0.00141699893886066
Republic of Tatarstan,92000000,92000000,2.85593642451436,78.2,6.9,490.8,3900758,108.3,27.3,0.769164864880108,144.345134445114,77.82693176521,19.4682086415009,73.7698755158087,13.2840432500611,4.28583367642904,0.053892914092889,0.598321285210483,4.44580258503604,55.2,19.5,1065.38862446735,35707,23.2,2.9,25.3,2.73536579300741,314.478324169426,0.140448438401402,0.698448462514454,-11.9892307692308,19.6130769230769,81.0761538461538,67.9146153846154,67996.2702013496,86.318258163541,35.0888651970881,0.617680938610753,0.00193936665642934,0.0245115867520984,0.015517608316796,0.117713743351153,0.0161066335594633,0.00666541763406504,0.0400656985649708,0.0717759094254375,0.0487771696635907,0.0112544551077256,0.0165589332392186,0.0131096779547514,0.0171284992390665,0.0213594680680086,0.0138618078770881,0.0318960210862324,0.0715068192134578,0.0456856579290932,0.0114741727157883,0.00335056580716148
Republic of Tuva,93000000,93000000,0.578527290665673,82.9,34.1,61.1,325903,117,14.19,0.541921982921299,210.976837879522,152.440329051044,8.18070909234896,181.254717701102,4.36956208753055,4.99535137755713,0.0181813769280248,0.385961649569209,5.22854959911385,53.8,34.6,371.56454527881,16583,12.8,0.1,11.6,0.0889835319098014,142.483732657672,0.0606976878002137,0.56292316791173,-23.528,16.409,73.611,65.921,168541.411314282,7.65095262433413,0.000130535141662981,0.0889988987455983,0.0239825960485175,0.00554649947329072,0.0165967233596668,0.00239654403977045,0.0106053632602407,0.00249121950635824,0.0119524924896405,0.00624629945824987,0.0100179191000876,0.00160149825408744,0.00600333711628361,0.00579174315180126,0.0062417367851613,0.0102009963577664,0.00503947242632358,0.0709877789143523,0.125703354592462,0.0676627309010582,0.0176934759033314,0.00318531614995668
Rostov Region,60000000,60000000,2.49448463857797,70.5,13.4,224.7,4200071,111.5,25.82,0.681720618532401,132.559757648541,101.147976973731,35.4835576932724,107.859241702787,18.4313849960296,3.71112774045963,-0.0136916027010674,0.451803605276341,8.04772109804811,55.4,17,760.130031135188,30752,34.3,1.7,27.6,2.09425031148283,322.492099602125,0.157940352004132,0.43704373771874,-4.014,24.33,86.933,54.833,100954.593791709,60.3927263710153,43.397422303038,0.465555832921986,0.000212615453405431,0.0194510636547457,0.00462958479452969,0.0716656700629765,0.0160631632162361,0.00760263063354249,0.018484301589514,0.0624023747056014,0.0358660345734039,0.00636803744181505,0.00949347884798994,0.00828054593992006,0.0129366044144757,0.0178413263835603,0.0107304787379015,0.0366925634926541,0.0552216468590951,0.0472776088974263,0.00836280344571483,0.00243360163173174
